stop_code,stop_name,stop_lat,stop_lon,zone_id
59625,Eastbound 122 Ave @ 190 St,49.224298,-122.69453,BUS ZN
59626,Eastbound 122 Ave @ 191B St,49.224312,-122.691095,BUS ZN
59609,Eastbound Park Rd @ 193 St,49.225549,-122.686323,BUS ZN
59611,Eastbound Park Rd @ Mcmyn Ave,49.225554,-122.682032,BUS ZN
59612,Northbound Park Rd @ Somerset Dr,49.224982,-122.676923,BUS ZN
59638,Southbound N Wildwood Cres @ Hammond Rd,49.21694,-122.675166,BUS ZN
59639,Southbound N Wildwood Cres @ Wildwood Place,49.214673,-122.674125,BUS ZN
59640,Southbound N Wildwood Cres @ 19800 Block,49.214134,-122.671672,BUS ZN
51019,Northbound West Blvd @ W 46 Ave,49.230145,-123.155632,BUS ZN
59641,Southbound Wildwood Cres @ 116A Ave,49.21199,-122.670819,BUS ZN
59642,Westbound S Wildwood Cres @ 19800 Block,49.210753,-122.672335,BUS ZN
59637,Westbound S Wildwood Cres @ 19600 Block,49.211523,-122.676583,BUS ZN
59635,Westbound 116B Ave @ Bonson Rd,49.214474,-122.678639,BUS ZN
59636,Northbound Bonson Rd @ S Wildwood Cres,49.211844,-122.678195,BUS ZN
59634,Westbound 116B Ave @ Blakely Rd,49.214448,-122.683394,BUS ZN
59633,Northbound Blakely Rd @ 117 Ave,49.21547,-122.683748,BUS ZN
59671,Southbound Nelson Ave @ Rumble St,49.214497,-122.993973,BUS ZN
51020,Northbound West Blvd @ W 45 Ave,49.231163,-123.155603,BUS ZN
59670,Southbound Nelson Ave @ Clinton St,49.212593,-122.994004,BUS ZN
59669,Southbound Nelson Ave @ McKee Place,49.210732,-122.994011,BUS ZN
59668,Southbound Nelson Ave @ Patrick Place,49.208615,-122.996792,BUS ZN
59148,Northbound 203 St @ Dewdney Trunk Rd,49.220674,-122.656936,BUS ZN
59650,Southbound Laity St @ 12200 Block,49.225729,-122.631874,BUS ZN
59652,Southbound Laity St @ 122 Ave,49.224048,-122.631889,BUS ZN
59654,Southbound Laity St @ 12100 Block,49.223199,-122.631885,BUS ZN
59656,Southbound Laity St @ Cook Ave,49.218665,-122.631956,BUS ZN
50103,Westbound Cornwall Ave @ Arbutus St,49.272608,-123.152989,BUS ZN
51021,Northbound West Blvd @ W 43 Ave,49.232961,-123.155537,BUS ZN
59659,Southbound Laity St @ Cutler Place,49.216218,-122.631989,BUS ZN
59660,Northbound Laity St @ 117 Ave,49.215285,-122.631858,BUS ZN
59706,Southbound 224 St @ 124 Ave,49.227258,-122.601426,BUS ZN
59658,Northbound Laity St @ Lougheed Hwy,49.217963,-122.631811,BUS ZN
59707,Southbound 224 St @ 122 Ave,49.223909,-122.601462,BUS ZN
51022,Northbound West Blvd @ W 41 Ave,49.2349,-123.155429,BUS ZN
59657,Northbound Laity St @ Cook Ave,49.219438,-122.631799,BUS ZN
59711,Southbound Edge St @ Brown Ave,49.221082,-122.597881,BUS ZN
59653,Northbound Laity St @ 121 Ave,49.223603,-122.631776,BUS ZN
59651,Northbound Laity St @ 122 Ave,49.224907,-122.631757,BUS ZN
59149,Southbound 203 St @ Lougheed Hwy,49.220665,-122.65716,BUS ZN
51023,Northbound West Blvd @ W 39 Ave,49.236779,-123.155392,BUS ZN
59734,Eastbound Murray St @ Klahanie Dr East,49.280456,-122.832769,BUS ZN
59733,Southbound 124 St @ 58A Ave,49.108542,-122.879218,BUS ZN
60887,Caulfeild Village @ Safeway,49.350855,-123.252168,BUS ZN
